iteration,objective_value,solve_time,yr1,yr2,ys1,ys2,ys3,z_an1,z_an2,z_cat1,z_cat2
50,36.900000000000006,0.007654905319213867,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0
51,37.00000000000001,0.006329059600830078,0.0,1.0,0.0,1.0,1.0,-0.0,1.0,-0.0,1.0
52,37.04,0.006175041198730469,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,0.0
53,37.18,0.006723880767822266,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
54,37.220000000000006,0.004713773727416992,-0.0,1.0,-0.0,1.0,1.0,1.0,0.0,-0.0,1.0
55,37.28,0.007483959197998047,-0.0,1.0,-0.0,1.0,1.0,1.0,0.0,1.0,0.0
56,37.32,0.004647970199584961,1.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,1.0
57,37.660000000000004,0.004776954650878906,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,1.0,0.0
58,37.760000000000005,0.003340005874633789,1.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,1.0
59,37.96,0.005220174789428711,1.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
60,37.96,0.006797075271606445,1.0,1.0,-0.0,-0.0,1.0,1.0,0.0,1.0,0.0
61,39.74,0.003142118453979492,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0
62,39.9,0.01053309440612793,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0
63,40.08,0.012845993041992188,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0
64,40.099999999999994,0.0024690628051757812,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
65,45.20000000000001,0.022500991821289062,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
66,45.260000000000005,0.040025949478149414,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
67,45.36000000000001,0.009063005447387695,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
68,45.400000000000006,0.0197298526763916,1.0,1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,0.0
69,45.46,0.0061359405517578125,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
70,45.540000000000006,0.00761103630065918,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,1.0
71,45.56,0.00927281379699707,-0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
72,45.64,0.011355876922607422,1.0,1.0,1.0,1.0,-0.0,1.0,0.0,-0.0,1.0
73,46.02,0.004865884780883789,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
74,46.080000000000005,0.0032761096954345703,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,-0.0,1.0
75,46.24,0.005565166473388672,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,1.0,0.0
76,46.32,0.0030260086059570312,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
77,47.64,0.0029129981994628906,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,1.0,0.0
78,47.800000000000004,0.0031158924102783203,1.0,1.0,-0.0,1.0,1.0,-0.0,1.0,-0.0,1.0
79,48.02,0.0019121170043945312,1.0,1.0,-0.0,1.0,1.0,1.0,0.0,-0.0,1.0
80,48.08,0.0021889209747314453,1.0,1.0,-0.0,1.0,1.0,1.0,0.0,1.0,0.0
81,56.00000000000001,0.003142833709716797,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0
82,56.160000000000004,0.0020189285278320312,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
83,56.34,0.0015048980712890625,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
84,56.36,0.0015108585357666016,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
