Equipment,K1,K2,K3,B1,B2,cepci,f_pres,f_mat,A_min
Tank reactor,4.1052,0.532,-0.0005,2.25,0.55,1,1,3.2,0.1
Tubular reactor,4.1052,0.532,-0.0005,2.25,0.55,1,1,3.2,0.1
Holding tank,3.4974,0.4485,0.1074,2.25,0.55,1,1,3.2,0.1
Vaporizer,3.8751,0.3328,0.1901,2.25,0.92,1,1.25,3.2,1
Crystallizer,4.5097,0.1731,0.1344,2.25,-0.2,1,1,3.2,1.5
Filter,4.2756,0.352,0.0714,2.25,-0.19,1,1,3.2,0.5
